(val) step 1669: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 53440, 'step': 1669}
(val) step 1679: {'pi': 0.66796875, 'score': 0.66796875, 'examples_seen': 53760, 'step': 1679}
(val) step 1689: {'pi': 0.87890625, 'score': 0.87890625, 'examples_seen': 54080, 'step': 1689}
(val) step 1699: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 54400, 'step': 1699}
(val) step 1709: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 54720, 'step': 1709}
(val) step 1719: {'pi': 0.873046875, 'score': 0.873046875, 'examples_seen': 55040, 'step': 1719}
(val) step 1729: {'pi': 0.857421875, 'score': 0.857421875, 'examples_seen': 55360, 'step': 1729}
(val) step 1739: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 55680, 'step': 1739}
(val) step 1749: {'pi': 0.7890625, 'score': 0.7890625, 'examples_seen': 56000, 'step': 1749}
(val) step 1759: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 56320, 'step': 1759}
(val) step 1769: {'pi': 0.880859375, 'score': 0.880859375, 'examples_seen': 56640, 'step': 1769}
(val) step 1779: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 56960, 'step': 1779}
(val) step 1789: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 57280, 'step': 1789}
(val) step 1799: {'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 57600, 'step': 1799}
(val) step 1809: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 57920, 'step': 1809}
(val) step 1819: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 58240, 'step': 1819}
(val) step 1829: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 58560, 'step': 1829}
(val) step 1839: {'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 58880, 'step': 1839}
(val) step 1849: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 59200, 'step': 1849}
(val) step 1859: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 59520, 'step': 1859}
(val) step 1869: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 59840, 'step': 1869}
(val) step 1879: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 60160, 'step': 1879}
(val) step 1889: {'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 60480, 'step': 1889}
(val) step 1899: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 60800, 'step': 1899}
(val) step 1909: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 61120, 'step': 1909}
(val) step 1919: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 61440, 'step': 1919}
(val) step 1929: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 61760, 'step': 1929}
(val) step 1939: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 62080, 'step': 1939}
(val) step 1949: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 62400, 'step': 1949}
(val) step 1959: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 62720, 'step': 1959}
(val) step 1969: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 63040, 'step': 1969}
(val) step 1979: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 63360, 'step': 1979}
(val) step 1989: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 63680, 'step': 1989}
(val) step 1999: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 64000, 'step': 1999}
(val) step 2009: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 64320, 'step': 2009}
(val) step 2019: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 64640, 'step': 2019}
(val) step 2029: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 64960, 'step': 2029}
(val) step 2039: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 65280, 'step': 2039}
(val) step 2049: {'pi': 1.0, 'score': 1.0, 'examples_seen': 65600, 'step': 2049}
(val) step 2059: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 65920, 'step': 2059}
(val) step 2069: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 66240, 'step': 2069}
(val) step 2079: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 66560, 'step': 2079}
(val) step 2089: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 66880, 'step': 2089}
(val) step 2099: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 67200, 'step': 2099}
(val) step 2109: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 67520, 'step': 2109}
(val) step 2119: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 67840, 'step': 2119}
(val) step 2129: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 68160, 'step': 2129}
(val) step 2139: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 68480, 'step': 2139}
(val) step 2149: {'pi': 0.859375, 'score': 0.859375, 'examples_seen': 68800, 'step': 2149}
(val) step 2159: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 69120, 'step': 2159}
(val) step 2169: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 69440, 'step': 2169}
(val) step 2179: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 69760, 'step': 2179}
(val) step 2189: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 70080, 'step': 2189}
(val) step 2199: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 70400, 'step': 2199}
(val) step 2209: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 70720, 'step': 2209}
(val) step 2219: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 71040, 'step': 2219}
(val) step 2229: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 71360, 'step': 2229}
(val) step 2239: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 71680, 'step': 2239}
(val) step 2249: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 72000, 'step': 2249}
(val) step 2259: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 72320, 'step': 2259}
(val) step 2269: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 72640, 'step': 2269}
(val) step 2279: {'pi': 1.0, 'score': 1.0, 'examples_seen': 72960, 'step': 2279}
(val) step 2289: {'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 73280, 'step': 2289}
(val) step 2299: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 73600, 'step': 2299}
(val) step 2309: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 73920, 'step': 2309}
(val) step 2319: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 74240, 'step': 2319}
(val) step 2329: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 74560, 'step': 2329}
